OBJECTID,Join_Count,TARGET_FID,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3,pointid,grid_code,Shape_Leng,Shape_Area
1,0,1,96,PA 04-2012,40.55250000000,-79.53485000000,-79.53485100000,40.55250000000,6,2013,0,0,43141.68007460000,142419712.04800000000
2,0,2,97,PA 05-2012,40.59877000000,-78.52019000000,-78.52018700000,40.59877000000,6,2013,0,0,43129.83914670000,142322777.37300000000
3,0,3,98,PA 07-2012,40.50961000000,-78.81924000000,-78.81923700000,40.50961000000,6,2013,0,0,43152.64107220000,142509480.35500000000
4,1,4,99,PA 09-2012,40.19034000000,-79.76894000000,-79.76894400000,40.19034000000,6,2013,101163,6,43233.78844640000,143175155.39500000000
5,0,5,100,PA 16-2012,40.07957000000,-78.50334000000,-78.50334200000,40.07957000000,6,2013,0,0,43261.75979290000,143405052.60800000000
6,0,6,101,PA 13-2013,40.29628000000,-80.39053000000,-80.39053000000,40.29628000000,9,2013,0,0,43206.94906710000,142954772.59800000000
7,0,7,102,PA 16-2013,40.18493000000,-78.50201000000,-78.50201000000,40.18493000000,9,2013,0,0,43235.15668600000,143186395.87200000000
8,0,8,103,PA 17-2013,40.62988000000,-78.74651000000,-78.74651000000,40.62988000000,9,2013,0,0,43121.86855740000,142257550.26100000000
9,0,9,104,PA 18-2013,39.93142000000,-78.80871000000,-78.80871000000,39.93142000000,9,2013,0,0,43299.02492580000,143711679.12600000000
10,0,10,105,VA 07-2013,38.62880000000,-78.50520000000,-78.50520000000,38.62880000000,10,2013,0,0,43619.67906730000,146365435.80600000000
11,0,11,106,VA 08-2013,37.22430000000,-80.46200000000,-80.46200000000,37.22430000000,10,2013,0,0,43951.92016160000,149140706.71700000000
12,0,12,107,VA 18-2013,38.58930000000,-78.47710000000,-78.47710000000,38.58930000000,10,2013,0,0,43629.21037470000,146444713.51400000000
13,0,13,108,WV 01-2013,38.76546000000,-79.62269000000,-79.62269000000,38.76545700000,7,2013,0,0,43586.61806640000,146090615.98500000000
14,0,14,109,WV 02-2013,39.33823000000,-78.56105000000,-78.56105000000,39.33823000000,7,2013,0,0,43446.58651000000,144929595.11300000000
15,0,15,110,WV 04-2013,39.20385000000,-77.85297000000,-77.85297000000,39.20385000000,7,2013,0,0,43479.65354540000,145203310.72800000000
16,0,16,111,WV 07-2013,39.29491000000,-80.77518000000,-80.77518000000,39.29491000000,7,2013,0,0,43457.26086760000,145017922.09500000000
17,0,17,112,WV 09-2013,39.32245000000,-81.24289000000,-81.24289000000,39.32245000000,9,2013,0,0,43450.47654830000,144961780.34400000000
18,0,18,113,WV 10-2013,39.19702000000,-79.85605000000,-79.85605000000,39.19702000000,8,2013,0,0,43481.33083880000,145217201.79300000000
19,0,19,114,WV 15-2013,38.02433000000,-82.20166000000,-82.20166000000,38.02433000000,7,2013,0,0,43764.33671660000,147570886.88600000000
20,0,20,115,WV 16-2013,38.98699000000,-81.07189000000,-81.07189000000,38.98699000000,7,2013,0,0,43532.73921900000,145643316.85200000000
21,0,21,116,WV 18-2013,37.96421000000,-80.50436000000,-80.50436100000,37.96421300000,7,2013,0,0,43778.58409050000,147689864.50200000000
22,0,22,117,WV 19-2013,37.79961000000,-80.86423000000,-80.86423000000,37.79961000000,8,2013,0,0,43817.46708730000,148014789.29800000000
23,0,23,118,WV 21-2013,38.93711000000,-82.09910000000,-82.09910000000,38.93711000000,7,2013,0,0,43544.90144370000,145744224.05300000000
24,0,24,119,WV 22-2013,38.95047000000,-81.54725000000,-81.54725000000,38.95047000000,8,2013,0,0,43541.64560760000,145717207.63300000000
25,0,25,120,WV 23-2013,39.37368000000,-81.44029000000,-81.44029000000,39.37368000000,9,2013,0,0,43437.84148460000,144857254.54800000000
26,0,26,121,WV 24-2013,38.64555000000,-80.76419000000,-80.76419000000,38.64555000000,7,2013,0,0,43615.63401380000,146331797.04500000000
27,0,27,186,IL 16-2012,42.31722000000,-90.22305000000,-90.22305300000,42.31722000000,5,2013,0,0,42677.95766390000,138656220.84900000000
28,0,28,187,IL 17-2012,42.06166000000,-89.98944000000,-89.98944100000,42.06166000000,4,2013,0,0,42746.68947820000,139209632.85200000000
29,0,29,188,IL 18-2012,40.79416000000,-89.78000000000,-89.77999900000,40.79416000000,4,2013,0,0,43079.65393100000,141912404.91100000000
30,0,30,189,IL 19-2012,40.93555000000,-87.86444000000,-87.86444100000,40.93555000000,4,2013,0,0,43043.15076030000,141614392.83300000000
31,0,31,190,IL 20-2012,39.87722000000,-88.95583000000,-88.95583300000,39.87722000000,5,2013,0,0,43312.61749320000,143823617.68000000000
32,0,32,191,IL 21-2012,39.87722000000,-88.86277000000,-88.86277000000,39.87722000000,5,2013,0,0,43312.61740810000,143823617.23400000000
