OBJECTID,Join_Count,TARGET_FID,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3,pointid,grid_code,Shape_Leng,Shape_Area
30,0,30,310,MD 16-2013,39.64491000000,-76.33864000000,-76.33864000000,39.64491000000,5,2014,0,0,43370.62371660000,144301893.41700000000
31,0,31,311,MD 17-2013,39.67025000000,-76.40218000000,-76.40218000000,39.67025000000,5,2014,0,0,43364.31601350000,144249840.59200000000
32,0,32,312,MD 18-2013,39.31620000000,-76.51012000000,-76.51012000000,39.31620000000,5,2014,0,0,43452.01644460000,144974522.53500000000
33,0,33,313,MD 19-2013,39.25789000000,-76.42896000000,-76.42896000000,39.25789000000,5,2014,0,0,71679.38778580000,96653939.76360000000
34,0,34,314,MD 20-2013,39.37801000000,-76.41743000000,-76.41743000000,39.37801000000,5,2014,0,0,45308.14235880000,143330985.76400000000
35,0,35,315,MD 21-2013,39.45416000000,-76.44083000000,-76.44083000000,39.45416000000,5,2014,0,0,43417.95301380000,144692808.89300000000
36,0,36,316,MD 22-2013,39.23394000000,-77.03675000000,-77.03675000000,39.23394000000,6,2014,0,0,43472.26068310000,145142091.12600000000
37,0,37,317,MD 23-2013,39.25040000000,-76.50835000000,-76.50835000000,39.25040000000,6,2014,0,0,63712.60744190000,107713368.43000000000
38,0,38,318,MD 24-2013,39.22619000000,-77.23131000000,-77.23131000000,39.22619000000,6,2014,0,0,43474.16535380000,145157862.48000000000
39,0,39,319,VA 03-2013,38.50650000000,-77.54553000000,-77.54553000000,38.50650000000,5,2014,0,0,43649.15408350000,146610666.45200000000
40,0,40,528,IA 01-2013,40.97585000000,-95.52140000000,-95.52140000000,40.97584700000,6,2014,0,0,43032.71904530000,141529301.42400000000
41,0,41,529,IA 02-2013,41.61916000000,-95.42090000000,-95.42090300000,41.61916100000,6,2014,0,0,42864.41377120000,140161170.80100000000
42,0,42,530,IA 03-2013,41.06559000000,-95.76525000000,-95.76524700000,41.06558600000,6,2014,0,0,43009.44046170000,141339542.64700000000
43,2,43,595,PA 09-2013,41.33713000000,-77.04280000000,-77.04280100000,41.33713000000,6,2014,16130,6,42938.60791260000,140763182.52500000000
44,0,44,596,PA 19-2013,40.19424000000,-77.24143000000,-77.24143000000,40.19424000000,6,2014,0,0,43232.80176030000,143167050.21500000000
45,0,45,597,PA 20-2013,39.81702000000,-76.62290000000,-76.62290000000,39.81702000000,6,2014,0,0,43327.68718060000,143947783.31500000000
46,0,46,741,AL 02-2013,31.24316000000,-85.54945000000,-85.54944800000,31.24316000000,4,2014,0,0,45228.25734240000,159927061.34900000000
47,0,47,742,AL 08-2013,31.13166000000,-85.21298000000,-85.21298000000,31.13166000000,3,2014,0,0,45250.12917830000,160111860.21700000000
48,0,48,743,AL 11-2013,31.27086000000,-85.50201000000,-85.50201000000,31.27086000000,4,2014,0,0,45222.81354900000,159881056.93700000000
49,0,49,744,AL 20-2013,31.05666000000,-85.05266000000,-85.05266000000,31.05666000000,3,2014,0,0,45264.80467920000,160235822.48900000000
50,0,50,745,SC 01-2013,33.10054000000,-80.86455000000,-80.86455000000,33.10054000000,3,2014,0,0,44854.13140420000,156759874.23300000000
51,0,51,746,SC 10-2013,35.04678000000,-82.18939000000,-82.18939000000,35.04678000000,5,2014,0,0,44441.26607010000,153263612.23100000000
52,0,52,747,SC 11-2013,34.30614000000,-82.58294000000,-82.58294000000,34.30614000000,5,2014,0,0,44600.99906940000,154615319.60200000000
53,0,53,748,SC 12-2013,34.79406000000,-82.78956000000,-82.78956000000,34.79406000000,5,2014,0,0,44496.13986950000,153727752.74600000000
54,0,54,749,SC 13-2013,34.43980000000,-81.83698000000,-81.83698000000,34.43980000000,5,2014,0,0,44572.41490790000,154373301.23900000000
55,0,55,750,SC 14-2013,34.42920000000,-81.72341000000,-81.72341000000,34.42920000000,5,2014,0,0,44574.68566050000,154392525.67400000000
56,0,56,751,SC 15-2013,34.99049000000,-82.39122000000,-82.39122000000,34.99049000000,6,2014,0,0,44453.52196770000,153367253.95300000000
57,0,57,752,SC 16-2013,34.99049000000,-82.39122000000,-82.39122000000,34.99049000000,6,2014,0,0,44453.52196770000,153367253.95300000000
58,0,58,753,SC 17-2013,33.96626000000,-81.13268000000,-81.13268000000,33.96626000000,6,2014,0,0,44673.21137480000,155226920.20200000000
59,0,59,754,SC 19-2013,34.66814000000,-82.07934000000,-82.07933800000,34.66814000000,7,2014,0,0,44523.33730280000,153957888.82500000000
60,0,60,755,SC 20-2013,34.50335000000,-82.08614000000,-82.08614300000,34.50335000000,7,2014,0,0,44558.78715600000,154257934.39500000000
61,0,61,756,SC 21-2013,34.34948000000,-82.57111000000,-82.57111400000,34.34948000000,8,2014,0,0,44591.74205830000,154536936.59500000000
62,0,62,757,SC 22-2013,34.36363000000,-82.65509000000,-82.65509000000,34.36363000000,6,2014,0,0,44588.71740170000,154511326.47000000000
63,0,63,758,SC 23-2013,34.37122000000,-82.69016000000,-82.69016300000,34.37122000000,8,2014,0,0,44587.09452790000,154497585.43600000000
64,0,64,759,SC 24-2013,33.84112000000,-80.98914000000,-80.98914300000,33.84112000000,8,2014,0,0,44699.62949100000,155450721.84000000000
65,1,65,818,SC 02-2013,34.12940000000,-79.66349000000,-79.66349000000,34.12940000000,3,2014,44552,6,44638.63429910000,154934040.36700000000
66,7,66,819,SC 04-2013,34.29876000000,-79.32687000000,-79.32687000000,34.29876000000,3,2014,44545,6,44602.57408880000,154628656.77000000000
67,0,67,820,SC 05-2013,34.25362000000,-80.67216000000,-80.67216000000,34.25362000000,4,2014,0,0,44612.20187460000,154710185.18700000000
68,0,68,821,SC 06-2013,33.55649000000,-80.09251000000,-80.09251000000,33.55649000000,4,2014,0,0,44759.38022830000,155956975.03800000000
69,1,69,822,SC 07-2013,33.92872000000,-80.03518000000,-80.03518000000,33.92872000000,4,2014,44553,6,44681.14585590000,155294134.94800000000
70,0,70,823,SC 08-2013,33.71248000000,-80.08595000000,-80.08595000000,33.71248000000,4,2014,0,0,44726.69178180000,155680003.36000000000
71,0,71,824,SC 09-2013,35.12115000000,-82.04662000000,-82.04662000000,35.12115000000,5,2014,0,0,44425.04421100000,153126453.47400000000
72,0,72,975,CA 40-2013,35.55806000000,-119.66472000000,-119.66472200000,35.55805600000,2,2014,0,0,44329.06441810000,152315461.98900000000
73,0,73,976,CA 44-2013,36.43194000000,-119.28028000000,-119.28027800000,36.43194400000,2,2014,0,0,44133.49787630000,150666493.85200000000
74,0,74,977,CA 47-2013,36.53356000000,-120.05020000000,-120.05020000000,36.53356400000,1,2014,0,0,44110.44057340000,150472439.60200000000
75,0,75,978,CA 48-2013,36.50006000000,-119.90012000000,-119.90012200000,36.50005700000,1,2014,0,0,44118.05067990000,150536478.45500000000
76,0,76,979,NV 01-2013,39.53732000000,-118.55301000000,-118.55300800000,39.53731800000,10,2014,0,0,43397.35743230000,144522619.23100000000
77,0,77,980,NV 02-2013,39.53732000000,-118.52929000000,-118.52928800000,39.53731800000,10,2014,0,0,43397.35742360000,144522619.05700000000
78,0,78,981,NV 03-2013,36.23428000000,-115.30812000000,-115.30812000000,36.23427800000,11,2014,0,0,44178.15707920000,151042583.94600000000
79,0,79,982,NV 04-2013,39.35294000000,-119.09478000000,-119.09478300000,39.35294000000,10,2014,0,0,43442.96351990000,144899615.24300000000
80,0,80,983,NV 05-2013,38.85401000000,-119.16403000000,-119.16402800000,38.85401000000,10,2014,0,0,43565.12816130000,145912114.92300000000
81,0,81,984,NV 06-2013,39.36995000000,-119.73315000000,-119.73314700000,39.36994800000,10,2014,0,0,43438.76709740000,144864903.15900000000
82,0,82,985,NV 07-2013,35.80177000000,-115.66916000000,-115.66916300000,35.80176800000,11,2014,0,0,44275.00842369990,151859171.39000000000
83,0,83,986,NV 08-2013,39.37000000000,-119.70328000000,-119.70327700000,39.36999500000,10,2014,0,0,43438.75553870000,144864807.52400000000
84,0,84,987,NV 09-2013,39.29219000000,-118.47141000000,-118.47141200000,39.29218900000,10,2014,0,0,43457.93533540000,145023496.86200000000
85,0,85,988,NV 10-2013,40.14058000000,-118.26010000000,-118.26009900000,40.14058300000,10,2014,0,0,43246.36887670000,143278519.78900000000
86,0,86,989,NV 11-2013,40.22832000000,-118.44197000000,-118.44196700000,40.22831700000,10,2014,0,0,43224.18139270000,143096239.57700000000
87,0,87,990,NV 13-2013,39.51903000000,-118.53900000000,-118.53900300000,39.51903000000,10,2014,0,0,43401.89224100000,144560080.99400000000
88,0,88,991,NV 14-2013,39.29265000000,-119.44305000000,-119.44305000000,39.29265300000,10,2014,0,0,43457.82126540000,145022552.73300000000
89,0,89,992,NV 16-2013,39.50517000000,-119.89938000000,-119.89937800000,39.50517000000,10,2014,0,0,43405.32753850000,144588462.90500000000
90,0,90,993,NV 17-2013,36.23428000000,-115.30812000000,-115.30812000000,36.23427800000,11,2014,0,0,44178.15707920000,151042583.94600000000
91,0,91,994,NV 19-2013,36.18519000000,-115.12143000000,-115.12143200000,36.18519100000,11,2014,0,0,44189.20886470000,151135699.67700000000
92,0,92,995,NV 20-2013,39.29265000000,-119.44305000000,-119.44305000000,39.29265300000,10,2014,0,0,43457.82126540000,145022552.73300000000
93,0,93,996,NV 21-2013,35.80177000000,-115.66916000000,-115.66916300000,35.80176800000,11,2014,0,0,44275.00842369990,151859171.39000000000
94,0,94,997,NV 22-2013,39.40981000000,-119.71828000000,-119.71827700000,39.40981200000,10,2014,0,0,43428.92300340000,144783492.77900000000
95,0,95,998,NV 23-2013,40.23927000000,-118.44241000000,-118.44241500000,40.23927000000,10,2014,0,0,43221.40727820000,143073458.91900000000
96,0,96,999,NV 24-2013,39.59313000000,-119.23700000000,-119.23700000000,39.59312700000,10,2014,0,0,43383.50368120000,144408208.40900000000
97,0,97,1077,TN 08-2013,35.34449000000,-89.62509000000,-89.62508600000,35.34448700000,4,2014,0,0,44376.12628460000,152712997.94100000000
98,0,98,1078,TX 21-2013,33.18754000000,-94.66196000000,-94.66196000000,33.18754000000,5,2014,0,0,44836.14409970000,156607451.11400000000
99,10970,99,1163,SD 05-2013,43.90876000000,-100.14094000000,-100.14094222000,43.90875504660,6,2014,5158,6,42237.22903920000,135146748.76900000000
100,229,100,1164,SD 06-2013,45.32945000000,-97.01624000000,-97.01623672900,45.32945156580,6,2014,968,6,41824.30341500000,131923661.55600000000
101,3750,101,1165,SD 07-2013,44.37868000000,-100.19429000000,-100.19428980000,44.37867526360,7,2014,1408,6,42102.75341360000,134089991.41600000000
102,5,102,1166,SD 08-2013,45.35171000000,-96.75490000000,-96.75490337500,45.35171131270,6,2014,963,6,41817.67961090000,131872493.57900000000
103,0,103,1167,SD 09-2013,45.01669000000,-96.67473000000,-96.67472726600,45.01669020320,6,2014,0,0,41916.85888040000,132640428.13300000000
104,1,104,1168,SD 10-2013,44.73566000000,-96.67787000000,-96.67786512200,44.73566060840,6,2014,1211,6,41999.21755540000,133281013.27700000000
105,14,105,1169,SD 11-2013,45.03206000000,-102.00288000000,-102.00288000000,45.03206000000,6,2014,1197,6,41912.33319380000,132605302.51400000000
106,191,106,1170,SD 12-2013,44.57894000000,-98.49851000000,-98.49851114300,44.57893810990,6,2014,1212,6,42044.81975520000,133636823.94200000000
107,5,107,1171,SD 13-2013,44.59267000000,-98.27612000000,-98.27611733300,44.59267447570,6,2014,1394,6,42040.83213830000,133605679.03700000000
108,2,108,1172,SD 14-2013,43.96377000000,-98.18696000000,-98.18696309800,43.96376714160,6,2014,7611,6,42221.59139110000,135023516.30900000000
109,0,109,1173,SD 22-2013,44.50635000000,-102.93746000000,-102.93746000000,44.50635000000,6,2014,0,0,42065.86262690000,133801277.48600000000
110,0,110,1200,OH 07-2013,39.37324000000,-83.57298000000,-83.57298300000,39.37323700000,9,2014,0,0,43437.95089530000,144858159.31800000000
111,0,111,1201,OH 16-2013,39.49367000000,-83.31432000000,-83.31432300000,39.49366600000,10,2014,0,0,43408.17320450000,144611983.10700000000
112,0,112,1202,VA 15-2013,36.87695000000,-77.46023000000,-77.46023000000,36.87695000000,5,2014,0,0,44032.02461770000,149813129.41800000000
113,0,113,1255,IA 04-2013,41.45756000000,-94.75785000000,-94.75785300000,41.45756400000,6,2014,0,0,42907.00493840000,140506539.03100000000
114,0,114,1256,IA 05-2013,41.85258000000,-94.80730000000,-94.80730000000,41.85258000000,6,2014,0,0,42802.51573900000,139660294.34700000000
115,0,115,1257,IA 10-2013,41.55899000000,-93.47227000000,-93.47227000000,41.55899000000,6,2014,0,0,42880.29726940000,140289900.88200000000
116,0,116,1258,IA 13-2013,41.79834000000,-93.70780000000,-93.70780000000,41.79834000000,6,2014,0,0,42816.93889280000,139776894.24700000000
117,0,117,1259,IA 14-2013,41.00167000000,-91.68917000000,-91.68917000000,41.00167000000,6,2014,0,0,43026.02665760000,141474731.07600000000
118,0,118,1260,IA 15-2013,41.51786000000,-94.00841000000,-94.00841000000,41.51786000000,6,2014,0,0,42891.13773200000,140377805.24700000000
119,0,119,1261,IA 16-2013,41.64692000000,-93.71956000000,-93.71956000000,41.64692000000,6,2014,0,0,42857.07581990000,140101727.65900000000
120,0,120,1262,IA 18-2013,41.54430000000,-93.82401000000,-93.82401000000,41.54430000000,6,2014,0,0,42884.17062260000,140321305.29500000000
121,0,121,1263,IA 19-2013,41.44894000000,-93.75622000000,-93.75622000000,41.44894000000,6,2014,0,0,42909.27180200000,140524937.56100000000
122,0,122,1264,IA 20-2013,41.78578000000,-93.40089000000,-93.40089000000,41.78578000000,6,2014,0,0,42820.27526450000,139803875.95500000000
123,0,123,1265,IA 21-2013,41.90825000000,-93.64257000000,-93.64257000000,41.90825000000,6,2014,0,0,42787.68681750000,139540485.97000000000
124,0,124,1266,IA 22-2013,42.06081000000,-93.61980000000,-93.61980000000,42.06081000000,6,2014,0,0,42746.91755170000,139211471.14600000000
125,0,125,1267,IA 23-2013,42.10706000000,-93.58110000000,-93.58110000000,42.10706000000,6,2014,0,0,42734.51980590000,139111529.05900000000
126,0,126,1268,IA 24-2013,41.48535000000,-93.55768000000,-93.55768000000,41.48535000000,6,2014,0,0,42899.69647300000,140447234.29300000000
127,0,127,1269,UT feral-2013,37.04587000000,-109.53910000000,-109.53910000000,37.04587499000,6,2014,0,0,43993.17091660000,149486830.04000000000
128,0,128,1328,TN 01-2013,35.58094000000,-84.26135000000,-84.26135500000,35.58094000000,5,2014,0,0,44323.99988690000,152272704.29500000000
129,0,129,1329,TN 05-2013,36.27886000000,-84.14691000000,-84.14690600000,36.27886000000,5,2014,0,0,44168.10243010000,150957890.95500000000
130,0,130,1330,TN 20-2013,36.06083000000,-83.36366000000,-83.36365900000,36.06083500000,6,2014,0,0,44217.13433970000,151371067.13700000000
131,0,131,1331,TN 22-2013,35.76490000000,-84.08257000000,-84.08256600000,35.76490000000,5,2014,0,0,44283.20551900000,151928347.40700000000
132,513,132,1469,CA 11-2013,39.80938000000,-122.06557000000,-122.06556700000,39.80938000000,2,2014,16132,6,43329.60308920000,143963565.19500000000
133,7,133,1470,CA 12-2013,39.63351000000,-121.70008000000,-121.70008000000,39.63350800000,4,2014,21151,6,43373.46562410000,144325340.83400000000
134,39,134,1471,CA 13-2013,39.72402000000,-122.18645000000,-122.18644700000,39.72401800000,4,2014,16368,6,43350.92128740000,144139330.76100000000
135,0,135,1472,CA 14-2013,40.60003000000,-122.03354000000,-122.03353500000,40.60003100000,6,2014,0,0,43129.52122180000,142320167.60400000000
136,0,136,1473,CA 15-2013,40.30004000000,-122.38344000000,-122.38343800000,40.30004400000,4,2014,0,0,43205.99898480000,142946967.06800000000
137,1395,137,1474,CA 16-2013,39.71694000000,-121.98346000000,-121.98346100000,39.71693600000,5,2014,16671,6,43352.68744480000,144153898.37900000000
138,0,138,1475,CA 17-2013,40.61303000000,-122.23007000000,-122.23007300000,40.61303100000,4,2014,0,0,43126.19133900000,142292915.33200000000
139,2794,139,1476,CA 18-2013,39.63342000000,-122.05011000000,-122.05011200000,39.63341800000,4,2014,17298,6,43373.48801640000,144325525.84000000000
140,385,140,1477,CA 19-2013,39.70015000000,-121.81680000000,-121.81679900000,39.70015000000,6,2014,18541,6,43356.87223260000,144188418.12500000000
141,0,141,1478,CA 20-2013,40.61405000000,-122.23743000000,-122.23743400000,40.61405400000,1,2014,0,0,43125.92921760000,142290770.32500000000
142,34,142,1479,CA 21-2013,39.71687000000,-122.20013000000,-122.20012700000,39.71687300000,4,2014,16374,6,43352.70323720000,144154028.50500000000
143,0,143,1480,CA 22-2013,39.36673000000,-122.56673000000,-122.56672800000,39.36673200000,5,2014,0,0,43439.56123720000,144871471.02100000000
144,19791,144,1481,CA 23-2013,38.44547000000,-121.81081000000,-121.81081000000,38.44547000000,2,2014,24747,6,43663.82850910000,146732824.11500000000
145,0,145,1482,CA 24-2013,39.03347000000,-121.15013000000,-121.15012700000,39.03347200000,3,2014,0,0,43521.39451000000,145549217.32800000000
146,512,146,1483,CA 25-2013,39.80933000000,-122.06550000000,-122.06550000000,39.80932500000,2,2014,16133,6,43329.61676100000,143963678.12500000000
147,3581,147,1484,CA 26-2013,39.13334000000,-121.75007000000,-121.75006600000,39.13334400000,5,2014,21166,6,43496.95544580000,145346632.70800000000
148,0,148,1485,CA 27-2013,39.01688000000,-120.88357000000,-120.88357000000,39.01687900000,3,2014,0,0,43525.44774130000,145582830.74300000000
149,0,149,1486,CA 28-2013,40.50023000000,-122.01672000000,-122.01671900000,40.50023000000,4,2014,0,0,43155.04133700000,142529135.19100000000
150,0,150,1487,CA 29-2013,37.07799000000,-120.86985000000,-120.86984800000,37.07799000000,3,2014,0,0,43985.76420030000,149424655.59800000000
151,0,151,1488,CA 30-2013,37.34712000000,-120.54724000000,-120.54724000000,37.34712000000,1,2014,0,0,43923.40884780000,148901648.65100000000
152,0,152,1489,CA 31-2013,37.36677000000,-120.53342000000,-120.53341700000,37.36676800000,1,2014,0,0,43918.83762610000,148863336.06000000000
153,0,153,1490,CA 32-2013,37.05489000000,-120.16155000000,-120.16155000000,37.05489000000,1,2014,0,0,43991.09371720000,149469390.32300000000
154,0,154,1491,CA 33-2013,37.06106000000,-120.14467000000,-120.14467000000,37.06106000000,1,2014,0,0,43989.67053680000,149457443.90500000000
155,0,155,1492,CA 34-2013,37.05344000000,-120.14431000000,-120.14431000000,37.05344000000,1,2014,0,0,43991.42809630000,149472197.27700000000
156,0,156,1493,CA 35-2013,37.40007000000,-120.55025000000,-120.55024900000,37.40006700000,1,2014,0,0,43911.08443120000,148798363.74500000000
157,0,157,1494,CA 36-2013,37.38356000000,-120.53356000000,-120.53356300000,37.38356300000,1,2014,0,0,43914.92802960000,148830572.16400000000
158,0,158,1495,CA 37-2013,37.36669000000,-120.50019000000,-120.50019400000,37.36668900000,1,2014,0,0,43918.85596250000,148863489.95900000000
159,0,159,1496,CA 38-2013,37.75003000000,-120.45023000000,-120.45023400000,37.75003100000,1,2014,0,0,43829.14729890000,148112448.54400000000
160,0,160,1497,CA 39-2013,37.08348000000,-120.30010000000,-120.30010400000,37.08348000000,1,2014,0,0,43984.49696910000,149414019.64300000000
161,0,161,1498,CA 41-2013,37.36680000000,-120.51691000000,-120.51690600000,37.36679900000,1,2014,0,0,43918.83042950000,148863275.57200000000
162,0,162,1573,MN 02-2013,44.19013000000,-92.49813000000,-92.49813100000,44.19013100000,6,2014,0,0,42156.95308960000,134515099.24000000000
163,0,163,1574,MN 06-2013,45.09755000000,-92.91317000000,-92.91317000000,45.09755000000,6,2014,0,0,41893.02093680000,132455505.31400000000
164,0,164,1575,MN 07-2013,43.91812000000,-92.57511000000,-92.57511400000,43.91811900000,6,2014,0,0,42234.56846560000,135125776.63900000000
165,0,165,1576,MN 13-2013,44.08264000000,-92.64803000000,-92.64802800000,44.08264200000,6,2014,0,0,42187.70534360000,134756789.18400000000
166,0,166,1722,UT 20-2013,38.58666000000,-109.56524000000,-109.56524000000,38.58666000000,5,2014,0,0,43629.85022290000,146450031.00400000000
167,0,167,1723,UT 21-2013,40.27167000000,-110.06799000000,-110.06799000000,40.27167000000,6,2014,0,0,43213.19463860000,143006032.71500000000
168,0,168,1724,UT 22-2013,40.60261000000,-109.48186000000,-109.48186000000,40.60261000000,5,2014,0,0,43128.85875890000,142314748.63400000000
169,0,169,1725,UT 23-2013,39.01459000000,-110.14052000000,-110.14052500000,39.01458900000,6,2014,0,0,43526.00538400000,145587458.08900000000
170,0,170,1726,UT 24-2013,37.28725000000,-109.56663000000,-109.56663000000,37.28725000000,6,2014,0,0,43937.32025270000,149018270.95300000000
171,0,171,1746,OH 04-2013,39.38341000000,-84.19461000000,-84.19461300000,39.38340900000,7,2014,0,0,43435.43987290000,144837391.56800000000
172,0,172,1747,OH 11-2013,40.28373000000,-83.45453000000,-83.45452700000,40.28372900000,8,2014,0,0,43210.13346360000,142980908.97000000000
173,0,173,1748,OH 13-2013,39.45151000000,-84.11093000000,-84.11093000000,39.45151400000,9,2014,0,0,43418.60802900000,144698222.61800000000
174,0,174,1749,OH 19-2013,40.91931000000,-81.89018000000,-81.89018000000,40.91930700000,8,2014,0,0,43047.35195310000,141648671.00100000000
175,0,175,1750,OH 21-2013,39.49214000000,-84.42543000000,-84.42543000000,39.49213700000,8,2014,0,0,43408.55202580000,144615113.47400000000
176,0,176,1751,OH 22-2013,39.54400000000,-84.09390000000,-84.09390000000,39.54400200000,10,2014,0,0,43395.69532540000,144508896.58300000000
177,0,177,1752,OH 23-2013,41.27574000000,-84.46534000000,-84.46534000000,41.27574000000,9,2014,0,0,42954.67335630000,140893767.92700000000
178,0,178,1832,TX 18-2013,28.53201000000,-97.90369000000,-97.90369000000,28.53201000000,4,2014,0,0,45742.26366420000,164247135.26500000000
179,0,179,1833,TX 19-2013,30.49798000000,-94.99660000000,-94.99660100000,30.49798100000,4,2014,0,0,45373.21071570000,161150570.23100000000
180,0,180,1834,TX 20-2013,30.04710000000,-94.71198000000,-94.71198000000,30.04710000000,5,2014,0,0,45459.53871920000,161877632.62100000000
181,0,181,1887,TN 16-2013,35.92472000000,-88.12879000000,-88.12878800000,35.92472200000,5,2014,0,0,44247.59232769990,151627894.32500000000
182,0,182,1888,TN 24-2013,35.81892000000,-85.41554000000,-85.41554300000,35.81891800000,5,2014,0,0,44271.18656620000,151826930.68000000000
183,0,183,2166,AL 01-2013,30.89446000000,-88.25680000000,-88.25680000000,30.89446000000,5,2014,0,0,45296.44353680000,160502974.37100000000
184,0,184,2167,AL 09-2013,30.78766000000,-88.11435000000,-88.11435000000,30.78766000000,5,2014,0,0,45317.20152560000,160678174.53000000000
185,0,185,2237,AL 06-2013,30.48254000000,-87.56001000000,-87.56001000000,30.48254000000,5,2014,0,0,45376.18324660000,161175628.42400000000
186,11,186,2238,AL 12-2013,30.36959000000,-87.67256000000,-87.67256000000,30.36959000000,7,2014,44557,6,45397.89686380000,161358617.93700000000
187,0,187,2239,FL 19-2013,28.03342000000,-81.87650000000,-81.87650000000,28.03341700000,1,2014,0,0,45832.89155830000,165001903.55200000000
188,0,188,2240,FL 20-2013,28.11011000000,-81.71280000000,-81.71279540000,28.11011030000,1,2014,0,0,45819.02685560000,164886612.41200000000
189,0,189,2241,FL 21-2013,27.68930000000,-82.32141000000,-82.32141110000,27.68930050000,1,2014,0,0,45894.76417530000,165515572.85800000000
190,0,190,2242,FL 22-2013,28.58361000000,-81.98353000000,-81.98352500000,28.58360700000,1,2014,0,0,45732.81616830000,164168305.56900000000
