OBJECTID,Join_Count,TARGET_FID,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3,pointid,grid_code,Shape_Leng,Shape_Area
1,0,1,122,OH 01-2013,40.12248000000,-81.48204000000,-81.48204300000,40.12248300000,6,2014,0,0,43250.93483080000,143316055.10600000000
2,0,2,123,OH 02-2013,40.24321000000,-80.51102000000,-80.51101900000,40.24321200000,7,2014,0,0,43220.40428910000,143065229.70100000000
3,0,3,124,OH 03-2013,39.27006000000,-81.30496000000,-81.30496500000,39.27006000000,7,2014,0,0,43463.37789340000,145068551.82900000000
4,0,4,125,OH 08-2013,39.37499000000,-81.25382000000,-81.25382000000,39.37499000000,6,2014,0,0,43437.51813120000,144854580.08200000000
5,0,5,126,OH 09-2013,38.54433000000,-82.37076000000,-82.37076000000,38.54433100000,8,2014,0,0,43640.04816600000,146534883.52700000000
6,0,6,127,OH 10-2013,38.54561000000,-82.17472000000,-82.17472500000,38.54560700000,10,2014,0,0,43639.74086790000,146532326.40700000000
7,0,7,128,OH 12-2013,40.43411000000,-80.70500000000,-80.70500000000,40.43411200000,7,2014,0,0,43171.90102410000,142667301.32200000000
8,0,8,129,OH 14-2013,38.56274000000,-82.14191000000,-82.14191000000,38.56274500000,10,2014,0,0,43635.61215190000,146497972.33800000000
9,0,9,130,OH 17-2013,40.45517000000,-81.17216000000,-81.17215600000,40.45516670000,7,2014,0,0,43166.53437720000,142623314.62400000000
10,0,10,131,OH 20-2013,39.45579000000,-81.27463000000,-81.27462900000,39.45579000000,7,2014,0,0,43417.54995060000,144689476.98700000000
11,0,11,132,PA 14-2013,40.46190000000,-77.82275000000,-77.82274961470,40.46190316090,6,2014,0,0,43164.81641700000,142609235.62000000000
12,0,12,133,PA 15-2013,39.85630000000,-77.65997000000,-77.65997000000,39.85630000000,6,2014,0,0,43317.85693850000,143866781.26900000000
13,0,13,134,VA 02-2013,38.27419000000,-77.75319000000,-77.75319000000,38.27419000000,5,2014,0,0,43704.85200190000,147074619.76600000000
14,0,14,135,VA 09-2013,37.66586000000,-77.87489000000,-77.87489000000,37.66586000000,6,2014,0,0,43848.92508840000,148277898.20400000000
15,0,15,136,VA 11-2013,38.13455000000,-78.60738000000,-78.60738000000,38.13455000000,5,2014,0,0,43738.14973240000,147352319.10000000000
16,0,16,137,VA 12-2013,37.43353000000,-77.96579000000,-77.96579000000,37.43353000000,6,2014,0,0,43903.28040840000,148732985.64300000000
17,0,17,138,VA 19-2013,38.15207000000,-78.53318000000,-78.53318000000,38.15207000000,5,2014,0,0,43733.97944110000,147317526.01100000000
18,0,18,139,VA 22-2013,37.19841000000,-80.58161000000,-80.58161000000,37.19841000000,5,2014,0,0,43957.91846340000,149191017.98400000000
19,0,19,140,VA 23-2013,37.44770000000,-79.05206000000,-79.05206000000,37.44770000000,5,2014,0,0,43899.97580690000,148705301.10400000000
20,0,20,141,VA 24-2013,37.47759000000,-78.27126000000,-78.27126000000,37.47759000000,5,2014,0,0,43893.00035510000,148646871.41900000000
21,0,21,222,IA 17-2013,42.38917000000,-91.38917000000,-91.38916600000,42.38916600000,6,2014,0,0,42658.50895899990,138499914.69500000000
22,0,22,302,MD 07-2013,39.70258000000,-76.70844000000,-76.70844000000,39.70258000000,4,2014,0,0,43356.26138750000,144183387.05100000000
23,0,23,303,MD 08-2013,39.67525000000,-76.69154000000,-76.69154000000,39.67525000000,4,2014,0,0,43363.07083610000,144239566.35500000000
24,0,24,304,MD 09-2013,39.52653000000,-77.42150000000,-77.42150000000,39.52653000000,4,2014,0,0,43400.02815030000,144544688.55300000000
25,0,25,305,MD 10-2013,38.36925000000,-76.63448000000,-76.63448000000,38.36925000000,6,2014,0,0,43682.10641550000,146885067.80300000000
26,6,26,306,MD 11-2013,38.40220000000,-76.80528000000,-76.80528000000,38.40220000000,5,2014,44539,6,45155.70476140000,144595704.45800000000
27,0,27,307,MD 12-2013,38.33086000000,-76.64239000000,-76.64239000000,38.33086000000,5,2014,0,0,43691.29989330000,146961667.96700000000
28,0,28,308,MD 14-2013,38.98214000000,-76.26787000000,-76.26787000000,38.98214000000,5,2014,0,0,68982.51199610000,71204807.26200000000
29,1,29,309,MD 15-2013,39.01949000000,-76.05906000000,-76.05906000000,39.01949000000,5,2014,44538,6,43524.80498990000,145577508.29800000000
