OBJECTID,Join_Count,TARGET_FID,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3,pointid,grid_code,Shape_Leng,Shape_Area
1,0,1,4,MD 02-2011,39.59920000000,-77.78226000000,-77.78225700000,39.59920000000,7,2011,0,0,43381.99001620000,144395718.49000000000
2,0,2,5,MD 03-2011,39.60960000000,-77.69839000000,-77.69838700000,39.60960000000,7,2011,0,0,43379.40537420000,144374379.95300000000
3,0,3,6,MD 04-2011,39.55657000000,-77.75439000000,-77.75438700000,39.55657000000,8,2011,0,0,43392.57642290000,144483136.84600000000
4,0,4,7,MD 05-2011,39.52723000000,-77.78700000000,-77.78700300000,39.52723000000,8,2011,0,0,43399.85464600000,144543255.13100000000
5,0,5,8,MD 06-2011,39.30976000000,-79.48222000000,-79.48222400000,39.30976000000,8,2011,0,0,43453.60323550000,144987653.22600000000
6,0,6,9,MD 07-2011,39.67768000000,-78.49626000000,-78.49626200000,39.67768000000,8,2011,0,0,43362.46568080000,144234572.97100000000
7,0,7,10,NJ 05-2011,40.06703000000,-79.57993000000,-79.57993300000,40.06703000000,8,2011,0,0,43264.92060060000,143431045.16300000000
8,0,8,11,PA 10-2011,40.66207000000,-80.19327000000,-80.19326800000,40.66207000000,9,2011,0,0,43113.61331410000,142190013.65800000000
9,0,9,12,PA 11-2011,39.80522000000,-79.56089000000,-79.56089000000,39.80522000000,9,2011,0,0,43330.63823740000,143972105.03400000000
10,0,10,13,PA 20-2011,40.69804000000,-78.14570000000,-78.14569900000,40.69804000000,8,2011,0,0,43104.37881480000,142114490.45600000000
11,0,11,14,PA 21-2011,40.46218000000,-77.82232000000,-77.82231900000,40.46218000000,9,2011,0,0,43164.74577910000,142608656.80600000000
12,0,12,15,PA 22-2011,39.79848000000,-78.73947000000,-78.73947100000,39.79848000000,9,2011,0,0,43332.32317630000,143985993.10400000000
13,0,13,16,PA 23-2011,40.34626000000,-78.80221000000,-78.80220800000,40.34626000000,9,2011,0,0,43194.25693900000,142850627.98700000000
