OBJECTID,Join_Count,TARGET_FID,pointid,grid_code,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3
1,1,1,1,6,2079,MT 16-2013,48.58789000000,-109.03197000000,-109.03197000000,48.58788900000,6,2013
2,1,2,2,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
3,1,3,3,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
4,1,4,4,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
5,1,5,5,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
6,1,6,6,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
7,1,7,7,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
8,1,8,8,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
9,1,9,9,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
10,1,10,10,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
11,1,11,11,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
12,1,12,12,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
13,1,13,13,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
14,1,14,14,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
15,1,15,15,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
16,1,16,16,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
17,1,17,17,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
18,1,18,18,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
19,1,19,19,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
20,1,20,20,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
21,1,21,21,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
22,1,22,22,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
23,1,23,23,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
24,1,24,24,6,2279,MN 24-2012,48.84086000000,-95.87560000000,-95.87560300000,48.84086000000,6,2013
