OBJECTID,Join_Count,TARGET_FID,pointid,grid_code,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3
1,1,1,1,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
2,1,2,2,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
3,1,3,3,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
4,1,4,4,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
5,1,5,5,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
6,1,6,6,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
7,1,7,7,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
8,1,8,8,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
9,1,9,9,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
10,1,10,10,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
11,1,11,11,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
12,1,12,12,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
13,1,13,13,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
14,1,14,14,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
15,1,15,15,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
16,1,16,16,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
17,1,17,17,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
18,1,18,18,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
19,1,19,19,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
20,1,20,20,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
21,1,21,21,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
22,1,22,22,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
23,1,23,23,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
24,1,24,24,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
25,1,25,25,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
26,1,26,26,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
27,1,27,27,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
28,1,28,28,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
29,1,29,29,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
30,1,30,30,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
31,1,31,31,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
32,1,32,32,6,861,NY 06-2011,48.77580000000,-100.32230000000,-100.32230000000,48.77580000000,8,2011
