OBJECTID,Join_Count,TARGET_FID,pointid,grid_code,uid,sampleid,y,x,bee_geocod,bee_geoc_1,bee_geoc_2,bee_geoc_3
1,1,1,1,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
2,1,2,2,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
3,1,3,3,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
4,1,4,4,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
5,1,5,5,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
6,1,6,6,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
7,1,7,7,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
8,1,8,8,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
9,1,9,9,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
10,1,10,10,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
11,1,11,11,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
12,1,12,12,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
13,1,13,13,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
14,1,14,14,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
15,1,15,15,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
16,1,16,16,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
17,1,17,17,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
18,1,18,18,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
19,1,19,19,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
20,1,20,20,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
21,1,21,21,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
22,1,22,22,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
23,1,23,23,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
24,1,24,24,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
25,1,25,25,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
26,1,26,26,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
27,1,27,27,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
28,1,28,28,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
29,1,29,29,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
30,1,30,30,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
31,1,31,31,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
32,1,32,32,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
33,1,33,33,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
34,1,34,34,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
35,1,35,35,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
36,1,36,36,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
37,1,37,37,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
38,1,38,38,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
39,1,39,39,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
40,1,40,40,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
41,1,41,41,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
42,1,42,42,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
43,1,43,43,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
44,1,44,44,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
45,1,45,45,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
46,1,46,46,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
47,1,47,47,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
48,1,48,48,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
49,1,49,49,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
50,1,50,50,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
51,1,51,51,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
52,1,52,52,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
53,1,53,53,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
54,1,54,54,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
55,1,55,55,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
56,1,56,56,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
57,1,57,57,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
58,1,58,58,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
59,1,59,59,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
60,1,60,60,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
61,1,61,61,6,2295,MN 10-2013,46.38308000000,-95.19548000000,-95.19548000000,46.38308000000,6,2014
