"sampleid","y","x"
"SD 04-2010","45.53315",-100.18729
"SD 05-2010","43.7568",-100.02617
"SD 06-2010","44.34509",-98.38195
"SD 07-2010","44.30902",-98.513641
"SD 08-2010","44.81948",-99.455032
"SD 09-2010","44.69309",-97.95256
"SD 10-2010","42.90626",-96.711639
"SD 11-2010","44.3743",-98.310913
"SD 12-2010","44.83216",-98.518593
"SD 13-2010","43.28682",-98.839539
"SD 14-2010","43.12914",-98.382332
"SD 15-2010","44.67052",-97.638931
"SD 16-2010","44.9948",-97.131523
"SD 17-2010","45.3688",-98.49015
"SD 18-2010","43.69135",-98.300323
"SD 19-2010","43.7358",-97.074783
"SD 20-2010","43.53838",-98.128891
"SD 21-2010","44.20658",-97.326103
"SD 22-2010","45.03481",-102.10179
"SD 23-2010","44.61726",-103.34288
"SD 24-2010","44.46726",-103.72803
"SD 25-2010","44.05046",-103.165
"TN 01-2010","36.15571",-85.245148
"TN 02-2010","36.02806",-84.303429
"TN 03-2010","35.39076",-84.836479
"TN 04-2010","35.98001",-83.02153
"TN 05-2010","36.19121",-89.495132
"TN 06-2010","36.25601",-85.228508
"TN 07-2010","35.80022",-83.933411
"TN 09-2010","36.58665",-82.765053
"TN 11-2010","36.29298",-88.665581
"TN 12-2010","35.34426",-89.625053
"TN 13-2010","35.49336",-86.48185
"TN 15-2010","35.17841",-89.248657
"TN 16-2010","35.3711",-86.313164
"TN 19-2010","36.03215",-85.031013
"TN 22-2010","35.20495",-88.322159
"TN 25-2010","36.43773",-81.7565
"TX 01-2010","32.58349",-97.166687
"TX 02-2010","30.63318",-96.335732
"TX 03-2010","30.39227",-96.088509
"TX 04-2010","30.60344",-97.663139
"TX 05-2010","29.26674",-96.333481
"TX 06-2010","30.99471",-97.28476
"TX 07-2010","30.99123",-97.29258
"TX 08-2010","30.88042",-97.144562
"TX 09-2010","29.20011",-98.200172
"TX 10-2010","30.16929",-96.319252
"TX 11-2010","28.82385",-99.185226
"TX 12-2010","29.04791",-98.982635
"TX 13-2010","29.04463",-98.992233
"TX 14-2010","29.18991",-99.016968
"TX 15-2010","29.01439",-99.10746
"TX 16-2010","29.00707",-98.890099
"TX 17-2010","30.45404",-94.016899
"TX 18-2010","31.00134",-93.668709
"TX 19-2010","30.70161",-96.305794
"TX 20-2010","33.0397",-96.316902
"TX 21-2010","33.04304",-96.431908
"TX 22-2010","31.45957",-96.069344
"WA 10-2010","46.23739",-117.93884
"WA 12-2010","48.4766",-122.3348
"WA 14-2010","48.0074",-117.45854
"WA 16-2010","48.14331",-122.5913
"WA 18-2010","48.4619",-122.2837
"WA 22-2010","46.1999",-117.9521
"WA 23-2010","48.01595",-117.27606
"CA 01-2010","35.76648",-119.06294
"CA 02-2010","35.4435",-119.23446
"CA 03-2010","35.44553",-119.32699
"CA 04-2010","35.4709",-119.2787
"CA 05-2010","35.49694",-119.67207
"CA 06-2010","37.23707",-120.66132
"CA 07-2010","35.7762",-119.06276
"CA 08-2010","36.98159",-120.1768
"CA 09-2010","37.06883",-120.08379
"CA 10-2010","37.50797",-120.48808
"CA 11-2010","37.06883",-120.08379
"CA 12-2010","37.28055",-120.69711
"CA 13-2010","37.64713",-120.56444
"CA 14-2010","37.13934",-120.20311
"CA 15-2010","36.89171",-120.08318
"CA 16-2010","35.50223",-119.38575
"CA 17-2010","37.1332",-120.17912
"CA 18-2010","40.56416",-122.21152
"CA 19-2010","39.56533",-121.80064
"CA 20-2010","37.14037",-120.18867
"CA 21-2010","39.52116",-121.70826
"CA 22-2010","39.69599",-122.10655
"CA 23-2010","36.28363",-120.27678
"CA 24-2010","33.38833",-117.16586
"CA 25-2010","33.27094",-117.17416
"CA 26-2010","33.30788",-117.03767
"CA 27-2010","33.45082",-117.32439
"CA 28-2010","33.43496",-117.32588
"CA 29-2010","33.0835",-116.96011
"CA 30-2010","35.53791",-119.38524
"CA 31-2010","33.04041",-117.17612
"CA 32-2010","33.46996",-117.00385
"CA 33-2010","39.81816",-122.07281
"CA 34-2010","39.729",-122.20747
"CA 35-2010","39.09579",-121.63734
"CA 36-2010","39.80596",-122.0625
"CA 37-2010","39.79333",-122.1156
"CA 38-2010","40.4682",-122.21557
"CA 39-2010","40.61388",-122.23559
"CA 40-2010","40.61259",-122.22965
"CA 41-2010","39.00963",-121.34797
"CA 42-2010","38.99905",-122.08577
"CA 43-2010","39.52344",-122.15115
"CA 44-2010","38.88531",-121.1115
"CA 45-2010","39.64",-122.02254
"CA 46-2010","38.54234",-121.94009
