	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	nosema	nosema	lnnosema1	nosema_d	mites	lnmites1	abpv_d	abpv_d	bqcv_d	dwv_d	cbpv_d	iapv_d	kbv_d	nosema	cbpv_d
															
lnberries	-0.00290	-0.00359	0.000755	0.0353*	-0.143***	-0.0221***	0.0145	0.00554	0.0606*	0.104**	0.0462	-0.0284	0.0167	-0.00326	0.0317
	(0.00768)	(0.00771)	(0.00324)	(0.0198)	(0.0492)	(0.00706)	(0.0370)	(0.0371)	(0.0366)	(0.0525)	(0.0557)	(0.0607)	(0.0493)	(0.00749)	(0.0576)
lnhort	0.00828*	0.00872*	0.00371*	0.0200*	0.0190	0.00318	-0.0474*	-0.0445*	0.0383*	-0.0372	-0.0222	-0.0973**	0.00622	0.00856*	-0.0242
	(0.00482)	(0.00487)	(0.00201)	(0.0121)	(0.0322)	(0.00470)	(0.0253)	(0.0255)	(0.0228)	(0.0258)	(0.0538)	(0.0415)	(0.0525)	(0.00484)	(0.0535)
lnalmonds		-0.000417	-0.00646	-0.0569	0.209***	0.0241*	0.0662	0.0607	-0.00387	-0.0629	0.0235	0.156	0.0260	-0.00422	-0.00424
		(0.0238)	(0.00726)	(0.0399)	(0.0716)	(0.0124)	(0.0679)	(0.0674)	(0.0807)	(0.0865)	(0.125)	(0.0960)	(0.0866)	(0.0201)	(0.126)
lndeveloped	-0.00777	-0.00908	-0.00456	-0.0311	0.211*	0.0380***	0.141	0.113	-0.246***	-0.137	0.0819	0.168	0.527***	-0.00926	0.0935
	(0.00968)	(0.00988)	(0.00501)	(0.0381)	(0.115)	(0.0146)	(0.0926)	(0.0975)	(0.0867)	(0.106)	(0.129)	(0.107)	(0.194)	(0.00986)	(0.133)
average_mintemp	-0.00569	-0.00664	-0.00317	-0.00241	-0.0717**	6.29e-05	-0.0792***	-0.0787***	-0.0908***	0.00529	-0.0732	-0.00581	0.0159	-0.00529	-0.0941*
	(0.00488)	(0.00498)	(0.00213)	(0.0124)	(0.0331)	(0.00459)	(0.0238)	(0.0239)	(0.0242)	(0.0246)	(0.0513)	(0.0350)	(0.0550)	(0.00537)	(0.0559)
average_precip	0.000187	0.000217	0.000200	0.00187**	0.00137	-0.000178	0.00294*	0.00229	0.00134	-0.00139	0.000525	0.00240	0.00261	0.000202	0.000969
	(0.000288)	(0.000296)	(0.000133)	(0.000899)	(0.00243)	(0.000324)	(0.00153)	(0.00159)	(0.00139)	(0.00181)	(0.00319)	(0.00179)	(0.00330)	(0.000301)	(0.00341)
_Iregion_2	-0.0988	-0.0928	-0.0750***	-0.552***	0.0887	0.0612		0.576	-0.652**	-0.186				-0.0946	
	(0.0700)	(0.0711)	(0.0262)	(0.178)	(0.686)	(0.0679)		(0.351)	(0.296)	(0.426)				(0.0717)	
